Qubit,Real,Depolarizing,Amplitude,Phase
00000,0.0908,0.0002,0.0007,0.006
00001,0.0525,0.0062,0.0074,0.0019
00010,0.0203,1E-04,0.0093,0.0069
00011,0.0215,0.011,0.0085,0.0071
00100,0.0642,0.0051,0.0012,0.0027
00101,0.0205,0.0086,0.0016,0.0016
00110,0.0162,0.0028,0.0033,0.002
00111,0.0326,0.0009,0.0111,0.0054
01000,0.0369,0.0091,0.0196,0.0069
01001,0.0019,0.0122,0.0019,0.008
01010,0.0132,0.0096,0.0109,0.008
01011,0.0619,0.0052,0.0032,0.0063
01100,0.0424,0.0014,0.0104,0.006
01101,0.0037,0.0024,0.0164,0.0093
01110,0.0286,0.0014,0.0017,0.0059
01111,0.0697,0.0071,0.0068,1E-04
10000,0.0871,0.0123,0.0099,0.0041
10001,0.026,0.0006,0.0049,0.0127
10010,0.003,0.0086,0.0012,0.0034
10011,0.0389,0.0024,0.0052,0.0027
10100,0.0578,0.0021,0.0029,0.0039
10101,0.0086,0.0088,0.0118,0.0124
10110,0.0073,0.0066,0.0137,0.0026
10111,0.0595,0.0107,0.0025,0.0046
11000,0.0368,0.0016,0.0029,0.0033
11001,0.0052,0.0063,0.002,0.0007
11010,0.0205,0.0151,1E-04,0.0019
11011,0.067,0.0113,0.002,0.0012
11100,0.024,0.0035,0.0012,0.0131
11101,0.0392,0.0181,0.001,0.0093
11110,0.0334,0.0085,0.0012,0.0038
11111,0.077,0.0018,0.0033,0.0038
